universe,window_id,method,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,Runtime,cvar95_loss,mdd_from_daily_returns,selected_holdings,average_pf_holdings,median_pf_holdings,PF_Size,run_dir,initial_turnover,rebalance_turnover,HV,IGD,PF_Overlap,Diversity,PF_Drift
NASDAQ100,window_001,BayesianConfig_ECMADE_MOO,1,60,10,755,124,0.2309727830601591,0.2299727830601591,0.5254857032776823,0.5229682789966374,0.401208747496738,1.2539482182393933,2.011036220662893,-0.2770130314343462,1.0,0.001,9.759596699965186,0.05002238738943472,-0.2770130314343462,7,9.334586466165414,10.0,266,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_001/BayesianConfig_ECMADE_MOO/run_001,1.0,1.0,1.0190897179503817,0.03784488203044326,0.8416666666666667,0.959636399345716,0.05503815474017572
NASDAQ100,window_002,BayesianConfig_ECMADE_MOO,1,59,10,755,126,0.2416678699381129,0.2406678699381129,0.5417390992366506,0.539256763496774,0.2751996740475873,1.7121705914356995,2.6812960135637893,-0.1737714276900464,1.0,0.001,9.885091400006786,0.035317355237446856,-0.1737714276900464,8,8.316901408450704,9.0,284,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_002/BayesianConfig_ECMADE_MOO/run_001,1.0,0.3488213704677668,1.0264721754385189,0.00528150006457237,0.9833333333333333,1.360806578642959,0.06823952674127337
NASDAQ100,window_003,BayesianConfig_ECMADE_MOO,1,60,10,756,124,-0.4533036506511592,-0.4543036506511592,-0.7068887100048193,-0.7079772766705579,0.5436393579728165,-1.9789284393835145,-3.5240718527148003,-0.4680964230009922,1.0,0.001,9.86627130000852,0.06903999343553852,-0.4680964230009922,10,9.702702702702704,10.0,259,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_003/BayesianConfig_ECMADE_MOO/run_001,1.0,0.3669410760114298,0.9644593266987684,0.01250035263452769,0.9,1.1968789747981585,0.04617668073633343
NASDAQ100,window_004,BayesianConfig_ECMADE_MOO,1,60,10,756,125,-0.1362643009629025,-0.1372643009629025,-0.2557071731526371,-0.2574433661118811,0.3933632415612738,-0.5545687039458945,-0.938452819316571,-0.3438196832033483,1.0,0.001,10.122620900045147,0.0488408435126814,-0.3438196832033483,10,9.501618122977346,10.0,309,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_004/BayesianConfig_ECMADE_MOO/run_001,1.0,0.8345587074475238,0.9066335627469263,0.007564977650209131,0.9583333333333334,1.2815080946686777,0.012117024231942669
NASDAQ100,window_005,BayesianConfig_ECMADE_MOO,1,60,10,755,123,0.3205774749823604,0.3195774749823604,0.7677412317493852,0.7649997980378247,0.279055058013133,2.18341263415795,3.353449772980509,-0.1641488692522507,1.0,0.001,9.691175700048916,0.03617809390038388,-0.1641488692522507,9,8.948096885813149,10.0,289,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_005/BayesianConfig_ECMADE_MOO/run_001,1.0,0.2741187803789152,0.9587216620233303,0.009442559476722732,0.9333333333333333,1.2400248395105216,0.024024969334663127
NASDAQ100,window_006,BayesianConfig_ECMADE_MOO,1,60,10,753,125,0.2089624382184252,0.2079624382184252,0.4660346008468197,0.4635909485296092,0.2037959471995568,1.9798884004940824,3.512539493362733,-0.0822263119379405,1.0,0.001,9.862765400088392,0.02242895871656301,-0.0822263119379405,10,9.675675675675675,10.0,296,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_006/BayesianConfig_ECMADE_MOO/run_001,1.0,0.8078472238704583,1.041028661233071,0.007073333762434456,0.9666666666666667,1.3565466573473588,0.060477380546653914
NASDAQ100,window_007,BayesianConfig_ECMADE_MOO,1,60,10,752,124,0.2744559390815202,0.2734559390815202,0.6369945216032873,0.6343852136293731,0.1713367809458362,2.9650040280895755,5.159917814230613,-0.0608099959044226,1.0000000000000002,0.001,9.490624799975194,0.019803239935063534,-0.0608099959044226,10,8.91324200913242,9.0,219,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_007/BayesianConfig_ECMADE_MOO/run_001,1.0000000000000002,0.2847749212344617,1.1577832932926457,0.00582679540327005,0.9666666666666667,0.8975065619774893,0.025648753183180224
NASDAQ100,window_008,BayesianConfig_ECMADE_MOO,1,60,10,752,126,0.1572816399986747,0.1562816399986747,0.3393007942780222,0.3369872309980251,0.2993438500323461,1.125769808860418,1.6692286072759703,-0.1417267187801382,1.0,0.0009999999999999,9.954516700003296,0.04198144920067547,-0.1417267187801382,8,9.118421052631579,10.0,304,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_008/BayesianConfig_ECMADE_MOO/run_001,1.0,0.32082374173200695,0.9732912466727625,0.005350700853273717,0.9833333333333333,1.3408127417987112,0.013046028944685432
NASDAQ100,window_009,BayesianConfig_ECMADE_MOO,1,59,10,752,122,0.2525313809026859,0.2515313809026859,0.5921705961158843,0.5895460335951477,0.3733652817832205,1.431679803886712,1.923227945107577,-0.2364600057738743,1.0000000000000004,0.001,10.114501599920914,0.05217370744103516,-0.23646000577387438,10,8.356545961002785,9.0,359,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_009/BayesianConfig_ECMADE_MOO/run_001,1.0000000000000004,0.44621382150089595,0.9911161082246127,0.004942952635357839,0.975,1.3193992104541084,0.02575485286772482
NASDAQ100,window_010,BayesianConfig_ECMADE_MOO,1,60,10,750,126,-0.0834428915692333,-0.0844428915692333,-0.1599230669850319,-0.1617551812018933,0.2033153833692205,-0.7545773480339066,-0.9980454614392744,-0.1570513997421568,1.0,0.001,9.794841700000688,0.03128716289973792,-0.15705139974215687,10,9.183266932270916,10.0,251,producer_outputs/p0_lite_outputs/p1_rolling_window_market_validation_20260719/raw_configured_ecmade/NASDAQ100/window_010/BayesianConfig_ECMADE_MOO/run_001,1.0,0.5196863314883181,1.0123040620841177,0.0058391420136101125,1.0,1.3692322458984933,0.0506316651565859
