item,requirement,status,notes
source_code,Complete Python/MATLAB source and runner inventory,complete,Research sources are in code/; third-party PlatEMO releases are identified but not relicensed.
environment,Python/MATLAB/PlatEMO versions and third-party notes,complete,See environment.yml requirements.txt system/software_environment.md and LICENSES_THIRD_PARTY.md.
synthetic_instances,192 synthetic instances or deterministic generation code,complete_by_generation,Split manifest and deterministic generator are included.
split_manifest,Train/Validation/Test split manifest,complete,data/synthetic/split_manifest.csv contains 112/48/32 instances.
theta_L24,L24 24-theta table,complete,configs/theta_L24.csv
rng_policy,All seeds and RNG policy,complete,manifest/rng_policy.md and split manifest seed fields
no_replicate_features,No-replicate meta-features and feature columns,complete,selector/feature_columns_no_replicate.json excludes replicate.
labels,Train/validation ranking labels and run metrics,complete,Formal and retained legacy label tables are included in labels/.
frozen_selector,Frozen no-replicate selector,complete,selector/selector_no_replicate.joblib is stored with Git LFS.
test_predictions,Test per-theta predictions and selected theta,complete,selector/test_theta_predictions.csv and selector/test_selected_theta.csv
run_level_metrics,Experiment A/B/C and real-market run-level metrics,complete,Run-level CSV files are included under experiments/ labels/ and real_market/.
statistical_tests,Statistical-test inputs and outputs,complete,Friedman and Wilcoxon-Holm outputs are included beside experiment summaries.
real_market,33 real-market windows and configured results,complete_with_data_rights_note,Derived results and download code are included; raw provider prices are excluded under DATA_USE_STATEMENT.md.
paper_outputs,Paper tables figures and reconstruction code,complete,Paper tables figures archives and plotting code are included.
integrity,SHA-256 and ZIP validation,complete,manifest/artifact_checksums.sha256 and scripts/check_github_package.py
readme_license,"README, citation, licenses, and data-use statement",complete,"README files, CITATION.cff, LICENSE, DATA_USE_STATEMENT.md, and LICENSES_THIRD_PARTY.md"
